ID,Common Name
02957,European Green Toad
02983,European Tree Frog
02992,Mediterranean Tree Frog
03038,Marsh Frog
03045,Italian Stream Frog
03048,Common Frog
03097,Alpine Newt
03100,Alpine Salamander
03101,Lanza's Salamander
03102,Fire Salamander
04620,Domestic Cattle
04623,Domestic Goat
04624,Alpine Ibex
04634,Domestic Sheep
04637,Chamois
04648,Roe Deer
04650,Red Deer
04652,Fallow Deer
04666,Wild Boar
04669,Domestic Dog
04671,Gray Wolf
04677,Red Fox
04679,Domestic Cat
04696,Beech Marten
04697,European Badger
04700,Least Weasel
04719,Raccoon
04721,Brown Bear
04745,European Hedgehog
04751,European Mole
04755,European Hare
04757,European Rabbit
04768,Donkey
04769,Horse
04801,Bank Vole
04803,Muskrat
04808,Coypu
04812,Crested Porcupine
04813,House Mouse
04815,Black Rat
04832,Alpine Marmot
04849,Red Squirrel
04934,Grass Snake
04948,Corn Snake
05007,Mediterranean House Gecko
05020,Green Lizard
05128,Asp Viper
05140,European Pond Turtle
05155,Spanish Pond Turtle
05169,Hermann's Tortoise
