ID,Nom commun
02957,Crapaud vert
02983,Rainette verte
02992,Rainette méridionale
03038,Grenouille rieuse
03045,Grenouille italienne
03048,Grenouille rousse
03097,Triton alpestre
03100,Salamandre noire
03101,Salamandre de Lanza
03102,Salamandre tachetée
04620,Bovin domestique
04623,Chèvre domestique
04624,Bouquetin des Alpes
04634,Mouton domestique
04637,Chamois
04648,Chevreuil
04650,Cerf élaphe
04652,Daim
04666,Sanglier
04669,Chien domestique
04671,Loup gris
04677,Renard roux
04679,Chat domestique
04696,Martre des pins
04697,Blaireau européen
04700,Belette
04719,Raton laveur
04721,Ours brun
04745,Hérisson commun
04751,Taupe européenne
04755,Lièvre d'Europe
04757,Lapin de garenne
04768,Âne
04769,Cheval
04801,Campagnol roussâtre
04803,Rat musqué
04808,Ragondin
04812,Porc-épic de Crête
04813,Souris domestique
04815,Rat noir
04832,Marmotte des Alpes
04849,Écureuil roux
04934,Couleuvre à collier
04948,Serpent des blés
05007,Gecko des maisons
05020,Lézard vert
